lgd_villagecode,village_name,district,nin,facility_name,facility_type,travel_time_min,distance_km,travel_time_bike,travel_time_auto,car_emissions_kg,bike_emissions_kg,auto_emissions_kg,car_cost_inr,bike_cost_inr,auto_cost_inr
396839.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396846.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396835.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396844.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396833.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396834.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396838.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396843.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396836.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396840.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396847.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396841.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396837.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396842.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396867.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396864.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396866.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396859.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396869.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396862.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396863.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396852.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396851.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396845.0,,kendrapara,6726872648,Bamara,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396855.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396848.0,,kendrapara,6726872648,Bamara,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396865.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396868.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396860.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396857.0,,kendrapara,6726872648,Bamara,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396861.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396850.0,,kendrapara,6726872648,Bamara,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396849.0,,kendrapara,6726872648,Bamara,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396854.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396856.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396858.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396749.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396821.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396827.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396825.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396752.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396751.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396746.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396750.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396830.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396747.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396831.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396742.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396832.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396743.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396828.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396824.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396826.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396820.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396829.0,,kendrapara,4687253379,Tyendakura,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396819.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396748.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396745.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396741.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396465.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396464.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396457.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396467.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396450.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396444.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396452.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396454.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396446.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396445.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396468.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396455.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396456.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396744.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396463.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396466.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396447.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396448.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396453.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396458.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396443.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396438.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396459.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396441.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396442.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396449.0,,kendrapara,4545875769,Sabalanga,hsc,100.98,99.89,100.98,134.3034,21.9758,4.9945,6.992300000000001,1198.68,249.725,1498.35
396451.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396774.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396753.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396766.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396779.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396493.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396494.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396731.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396773.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396500.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396712.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396462.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396814.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396477.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396795.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396805.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396815.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396722.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396776.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396734.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396804.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396728.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396822.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396853.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396803.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396764.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396763.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396727.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396710.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396704.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396703.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396715.0,,kendrapara,6544872457,Naladia,hsc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
